epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.0905,1.91247,3.65938,2.04798,0.00361,0.51389,0.05312,0.02776,1.86139,4.41606,2.20158,0.00017148,0.00017148,0.00017148
2,62.1885,1.71686,3.28355,1.86004,0.00332,0.47685,0.08522,0.03347,2.18359,4.39926,2.37093,0.000348408,0.000348408,0.000348408
3,92.1612,1.73449,2.97493,1.90292,0.00383,0.4537,0.0739,0.02521,2.21025,4.2485,2.4037,0.000516141,0.000516141,0.000516141
4,119.906,1.70839,2.82006,1.81237,0.00519,0.50926,0.05781,0.02222,2.36296,4.32209,2.59835,0.000674677,0.000674677,0.000674677
5,146.652,1.73272,2.77299,1.82468,0.75776,0.07407,0.1207,0.05277,2.35083,4.06697,2.59474,0.000824019,0.000824019,0.000824019
6,173.288,1.70595,2.66482,1.76415,0.5382,0.10185,0.11307,0.05205,2.52298,4.09378,2.69154,0.000964164,0.000964164,0.000964164
7,199.984,1.67585,2.62468,1.79256,0.45682,0.11574,0.05834,0.02229,2.25027,4.18119,2.65665,0.00109511,0.00109511,0.00109511
8,226.435,1.61318,2.52791,1.68845,0.45337,0.1713,0.0869,0.02953,2.21244,3.79483,2.54282,0.00118143,0.00118143,0.00118143
9,254.344,1.63391,2.42706,1.71523,0.43665,0.23148,0.45765,0.07203,2.35847,3.69249,2.64649,0.00114606,0.00114606,0.00114606
10,282.068,1.72644,2.52909,1.76431,0.4489,0.19444,0.4251,0.1667,2.27119,3.89879,2.76799,0.00111069,0.00111069,0.00111069
11,309.157,1.58491,2.33237,1.75144,0.44171,0.27778,0.42846,0.17657,2.36884,4.61339,2.73127,0.00107532,0.00107532,0.00107532
12,335.875,1.65654,2.4446,1.77959,0.52322,0.21296,0.13002,0.02947,2.59046,4.1219,2.89497,0.00103995,0.00103995,0.00103995
13,362.335,1.61819,2.26233,1.71992,0.51741,0.20693,0.12854,0.0568,2.22255,3.78805,2.40074,0.00100459,0.00100459,0.00100459
14,389.231,1.494,2.227,1.62515,0.48201,0.25463,0.22037,0.076,2.29199,4.0568,2.76344,0.000969219,0.000969219,0.000969219
15,415.855,1.57243,2.28354,1.67351,0.62193,0.17593,0.53922,0.15506,2.38393,3.61655,2.77273,0.000933851,0.000933851,0.000933851
16,442.341,1.62768,2.17643,1.70362,0.52966,0.23611,0.19226,0.09,2.1452,4.22875,2.26746,0.000898484,0.000898484,0.000898484
17,469.315,1.51253,2.07479,1.64497,0.50579,0.21759,0.16892,0.08428,2.10053,4.207,2.34141,0.000863116,0.000863116,0.000863116
